frame,text,noun_targets,annotations
Moving_in_place,Shadows quivered in his fallen cheeks .,"[""Shadows""]","[[""Target"", ""quivered""], [""Theme"", ""Shadows""], [""Fixed_location"", ""in his fallen cheeks""]]"
Accoutrements,She glanced at her name badge . ,"[""name"", ""badge""]","[[""Target"", ""badge""], [""Wearer"", ""her""], [""Style"", ""name""], [""Accoutrement"", ""badge""]]"
Fluidic_motion,All the poetry had dribbled out of her . ,"[""poetry""]","[[""Target"", ""dribbled""], [""Fluid"", ""All the poetry""], [""Source"", ""out of her""]]"
Lively_place,The place is buzzing with fashion ideas .,"[""place"", ""fashion"", ""ideas""]","[[""Target"", ""buzzing""], [""Location"", ""The place""], [""Activity"", ""with fashion ideas""]]"
Containers,A fork and two teaspoons . ,"[""teaspoons""]","[[""Target"", ""teaspoons""], [""Container"", ""teaspoons""]]"
Experiencer_obj,At best her rejection could only frustrate him . ,"[""rejection""]","[[""Target"", ""frustrate""], [""Stimulus"", ""her rejection""], [""Experiencer"", ""him""]]"
Stimulus_focus,Dazzling tuberous begonias and pelargoniums form an exhilarating patio display ,"[""patio"", ""display""]","[[""Target"", ""exhilarating""], [""Stimulus"", ""patio display""]]"
Part_orientational,One in front of the location .,"[""front"", ""location""]","[[""Target"", ""front""], [""Part"", ""front""], [""Whole"", ""of the location""]]"
Clothing,Her tears had dampened his immaculate waistcoat . ,"[""waistcoat""]","[[""Target"", ""waistcoat""], [""Wearer"", ""his""], [""Descriptor"", ""immaculate""], [""Garment"", ""waistcoat""]]"
Location_of_light,Its silk hangings shimmered . ,"[""silk"", ""hangings""]","[[""Target"", ""shimmered""], [""Figure"", ""Its silk hangings""]]"
Cause_harm,He cuffed his mate 's ear with the paper . ,"[""paper""]","[[""Target"", ""cuffed""], [""Agent"", ""He""], [""Body_part"", ""his mate 's ear""], [""Instrument"", ""with the paper""]]"
Operating_a_system,THIS PROJECT IS MANAGED BY FERMANAGH ENTERPRISE LTD .,"[""PROJECT""]","[[""Target"", ""MANAGED""], [""System"", ""THIS PROJECT""], [""Operator"", ""BY FERMANAGH ENTERPRISE LTD""]]"
Expensiveness,"Purchase of other property and buildings has cost £935,000 . ","[""\u00a3935,000""]","[[""Target"", ""cost""], [""Intended_event"", ""Purchase of other property and buildings""], [""Asset"", ""\u00a3935,000""]]"
Stimulus_focus,The response was heart-warming . ,"[""response""]","[[""Target"", ""heart-warming""], [""Stimulus"", ""The response""]]"
Commerce_sell,Manufacturers and retailers of the handheld games disagree . ,"[""retailers""]","[[""Target"", ""retailers""], [""Seller"", ""retailers""], [""Goods"", ""of the handheld games""]]"
Wearing,Two expensively dressed girls approached their table . ,"[""girls""]","[[""Target"", ""dressed""], [""Manner"", ""expensively""], [""Wearer"", ""girls""]]"
Spelling_and_pronouncing,She pronounced the dog 's name with special contempt .,"[""contempt""]","[[""Target"", ""pronounced""], [""Speaker"", ""She""], [""Sign"", ""the dog 's name""], [""Manner"", ""with special contempt""]]"
Conduct,It is future misbehaviour that will not be tolerated .,"[""misbehaviour""]","[[""Target"", ""misbehaviour""], [""Time"", ""future""], [""Manner"", ""misbehaviour""]]"
Kinship,Auntie made a strange moaning noise behind her hands . ,"[""Auntie""]","[[""Target"", ""Auntie""], [""Alter"", ""Auntie""]]"
Body_parts,She has very acute antennae . ,"[""antennae""]","[[""Target"", ""antennae""], [""Possessor"", ""She""], [""Descriptor"", ""very acute""], [""Body_part"", ""antennae""]]"
Self_motion,The police filed into the office .,"[""police"", ""office""]","[[""Target"", ""filed""], [""Self_mover"", ""The police""], [""Goal"", ""into the office""]]"
Motion,Ruth 's tongue snaked out to moisten her lips . ,"[""tongue""]","[[""Target"", ""snaked""], [""Theme"", ""Ruth 's tongue""], [""Source"", ""out""], [""Purpose"", ""to moisten her lips""]]"
Text,And on his lips there died the cheery lay . ,"[""lay""]","[[""Target"", ""lay""], [""Text"", ""lay""]]"
Roadways,That evening I walked the streets again . ,"[""streets""]","[[""Target"", ""streets""], [""Roadway"", ""streets""]]"
Clothing_parts,"` Will you sew on my button ? "" ","[""button""]","[[""Target"", ""button""], [""Wearer"", ""my""], [""Subpart"", ""button""]]"
Change_posture,He rose from his chair and embraced her warmly .,"[""chair""]","[[""Target"", ""rose""], [""Protagonist"", ""He""], [""Source"", ""from his chair""]]"
