text1,text2,correct,delta_bai,code_bai,delta_zining,code_zining,delta_upwork,code_upwork,roberta_base
His knife clinked to the floor .,His knife clinked to the inside .,-2,-2,nonsense,-2,nonsense,-2,physical,-9.05201530456543
Claire sprints into writing .,Claire sprints into work .,2,0,,0,,2,nonsense,6.251319408416748
A stream of visitors turned up at the camp .,A stream of listeners turned up at the camp .,-2,-2,atypical,0,,-2,expression,-9.10595703125
Grill the coconut until golden ; cool .,Grill the cake until golden ; cool .,-2,2,atypical,-2,physical,2,atypical,-1.6207876205444336
The contract was concluded at that beginning .,The contract was concluded at that time .,2,2,nonsense,2,atypical,-1,expression,10.128045082092285
Zhukov snorted in discontent .,Zhukov snorted in annoyance .,2,0,,1,expression,0,,5.491974830627441
Money hinged on the fact .,Worth hinged on the fact .,-2,-2,expression,-2,physical,0,,
"` Will you sew on my pocket ? "" ","` Will you sew on my button ? "" ",2,1,atypical,0,,-1,expression,2.0510787963867188
Liti screamed her outcry .,Liti screamed her outrage .,2,0,,0,,0,,8.149286270141602
Seizure of UN troops by Khmers Rouges,Seizure of UN forces by Khmers Rouges,-2,0,,0,,0,,0.3109922409057617
The response was heart-warming .,The sending was heart-warming .,-2,-2,nonsense,-2,nonsense,-2,expression,-11.91926383972168
He rose from his chair and embraced her warmly .,He rose from his bookcase and embraced her warmly .,-2,-2,physical,-2,physical,-2,physical,
My two chips were ready in my sweaty leaf .,My two chips were ready in my sweaty palm .,2,2,physical,2,physical,2,physical,13.525338172912598
He dismounted to lead his mare across .,He dismounted to lead his terrier across .,-2,-2,atypical,0,,0,,
Karlinsky stroked his beard and smiled .,Karlinsky stroked his pale and smiled .,-2,-2,syntactic,-2,syntactic,-2,expression,-13.955612182617188
That evening I walked the streets again .,That evening I walked the walkways again .,-2,-1,expression,0,,-2,physical,
The whole place stank .,The whole in stank .,-2,-2,syntactic,-2,syntactic,-2,syntactic,-12.730962753295898
Despite its beauty this whole area is little visited .,Despite its beauty this whole close is little visited .,-2,-2,syntactic,-2,nonsense,-2,expression,-12.154297828674316
The employee was concluded at that time .,The contract was concluded at that time .,2,2,expression,2,atypical,2,atypical,8.151082992553711
We know he 's a suicide addict .,We know he 's a heroin addict .,2,2,atypical,2,physical,2,expression,9.529623031616211
Three aspects were pinpointed and discussed in subsequent meetings .,Three themes were pinpointed and discussed in subsequent meetings .,2,0,,-1,atypical,-2,expression,2.8589906692504883
